Rank,Program,Network,Viewers,Change
66,Faulkner Focus,FNC,"1,972,000",1%
68,Tracker,CBS,"1,938,000",18%
69,9/1/2001,ABC,"1,934,000",58%
70,Story with Martha MacCallum,FNC,"1,920,000",
71,CBS Mornings,CBS,"1,890,000",2%
72,Rachel Maddow Show,MSNBC,"1,883,000",4%
73,America Reports,FNC,"1,881,000",-3%
74,On Brand with Jimmy Fallon,NBC,"1,880,000",-8%
75,FBI,CBS,"1,872,000",-6%
76,WNBA Playoffs,ESPN,"1,858,000",118%
77,Today 3rd Hour,NBC,"1,807,000",-3%
78,Fire Country,CBS,"1,788,000",39%
79,99 to Beat,FOX,"1,762,000",27%
80,Hell's Kitchen,FOX,"1,728,000",21%
81,Blue Bloods,CBS,"1,623,000",23%
82,Shark Tank,ABC,"1,598,000",-15%
83,Fox News at Night with Trace Gallagher,FNC,"1,582,000",-6%
84,MLB AL Division Series Pregame,FS1,"1,494,000",104%
85,College Football Prime,ESPN,"1,451,000",26%
86,Universal Basic Guys,FOX,"1,435,000",109%
87,Big Weekend Show,FNC,"1,432,000",-7%
88,NCIS: Origins,CBS,"1,404,000",-28%
89,"Life, Liberty and Levin",FNC,"1,401,000",22%
90,Sunday Night in America,FNC,"1,395,000",4%
91,Weakest Link,FOX,"1,357,000",-5%
92,MLB on TBS: Closer,TBS,"1,351,000",744%
93,Today with Jenna & Friends,NBC,"1,341,000",-2%
94,Fox & Friends,FNC,"1,329,000",-6%
95,NBC News Daily,NBC,"1,315,000",3%
96,Special Forces,FOX,"1,297,000",11%
97,Saturday Encore,CBS,"1,280,000",-17%
98,Last Word with Lawrence O'Donnell,MSNBC,"1,277,000",37%
99,Wonderful World of Disney,ABC,"1,255,000",
100,Name That Tune,FOX,"1,238,000",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
